TheatreSysId	TheatreName	Address1	City	StateID	ZipCode	latitude	longitude	phone
2537	Music City Mall Lewisville	2401 S STEMMONS FWY OFC 0004	LEWISVILLE	TX	75067	33.006709	-96.996093	303-555-1212
2538	Del Amo 18	3525 W CARSON ST	TORRANCE	CA	90503	NULL	NULL	303-555-1212
2538	Del Amo 18	3525 W CARSON ST STE 73	TORRANCE	CA	90503	33.832414	-118.347591	303-555-1212
2539	Colony Square Mall	3575 MAPLE AVE	ZANESVILLE	OH	43701	39.988339	-82.026577	303-555-1212
2540	Cinemark 14 Round Rock	4401 N INTERSTATE 35 STE 3000	ROUND ROCK	TX	78664	30.483006	-97.672469	303-555-1212
2540	Cinemark 14 Round Rock	4401 N. IH-35, Suite 3000	Round Rock	TX	78664	NULL	NULL	303-555-1212
2541	Willamette Town Center 11	831 LANCASTER DR NE	SALEM	OR	97301	44.941893	-122.989019	303-555-1212
2542	Antelope Valley Mall	1475 W RANCHO VISTA BLVD	PALMDALE	CA	93551	34.601762	-118.158597	303-555-1212
2543	Cinemark 16 Victorville and XD	14470 BEAR VALLEY RD	VICTORVILLE	CA	92392	34.473424	-117.347649	303-555-1212
2544	Westgate 20	9400 W HANNA DR	GLENDALE	AZ	85305	33.535122	-112.260529	303-555-1212
2545	Canyon View Stadium 14	648 MARKET ST	GRAND JUNCTION	CO	81505	39.098056	-108.604160	303-555-1212
2546	Rockaway 16	363 MOUNT HOPE AVE	ROCKAWAY	NJ	07866	40.906796	-74.546852	303-555-1212
2547	Southland Stadium Mall 16	20505 S DIXIE HWY STE 1301	CUTLER BAY	FL	33189	25.576352	-80.371587	303-555-1212
2548	Rosedale 14	850 ROSEDALE CTR	SAINT PAUL	MN	55113	45.014637	-93.173779	303-555-1212
2550	Sarasota 12	8201 S TAMIAMI TRL	SARASOTA	FL	34238	27.234500	-82.495970	303-555-1212
2551	Cinemark Southpark Meadows	9900 S INTERSTATE 35	AUSTIN	TX	78748	30.156761	-97.792378	303-555-1212
2552	Valley River with IMAX	500 VALLEY RIVER CTR	EUGENE	OR	97401	44.067263	-123.107783	303-555-1212
2553	Santa Fe Stadium 14	3474 ZAFARANO DR	SANTA FE	NM	87507	35.641796	-106.015656	303-555-1212
2554	New River Valley 14	110 NEW RIVER RD	CHRISTIANSBURG	VA	24073	37.163186	-80.427629	303-555-1212
2555	Strongsville at Southpark Mall	17450 SOUTHPARK CTR	STRONGSVILLE	OH	44136	41.312376	-81.819842	303-555-1212
2556	Fiesta Stations Stadium 12	777 W LAKE MEAD PKWY	HENDERSON	NV	89015	36.031958	-115.009128	303-555-1212
2557	Perkins Row with XD	10000 PERKINS ROWE	BATON ROUGE	LA	70810	30.378770	-91.095130	303-555-1212
2558	Deerfield Town Center	5500 DEERFIELD BLVD	MASON	OH	45040	39.308884	-84.319465	303-555-1212
2559	Riviera	510 S GAY ST	KNOXVILLE	TN	37902	35.964907	-83.917891	303-555-1212
2560	Eastvale Stadium 14	12285 LIMONITE AVE	MIRA LOMA	CA	91752	33.975781	-117.551525	303-555-1212
2561	Ithaca Mall 14	40 CATHERWOOD RD	ITHACA	NY	14850	42.483327	-76.490933	303-555-1212
2562	Memorial City	303 MEMORIAL CITY STE 310	HOUSTON	TX	77024	29.778748	-95.539995	303-555-1212
2563	Southpark Mall 16	300 SOUTHPARK CIR	COLONIAL HEIGHTS	VA	23834	37.253779	-77.396045	303-555-1212
2564	Mall Del Norte	5300 SAN DARIO AVE	LAREDO	TX	78041	27.551132	-99.501383	303-555-1212
2565	Colonie Center 13	131 WOLF RD	ALBANY	NY	12205	42.700029	-73.800257	303-555-1212
2566	Cinemark Hill Country Galleria	12812 HILL COUNTRY BLVD	AUSTIN	TX	78738	30.309610	-97.940490	303-555-1212
2568	Port Chester 14	40 WESTCHESTER AVE	PORT CHESTER	NY	10573	40.999985	-73.662371	303-555-1212
2570	Raceway 10	1025 CORPORATE DR	WESTBURY	NY	11590	40.742266	-73.596443	303-555-1212
2572	Stonecrest 22 @ Piper Glen with IMAX	7824 REA RD	CHARLOTTE	NC	28277	35.060871	-80.813617	303-555-1212
2573	Auburn 17 Theatres	1101 OUTLET COLLECTION DR SW STE 901	AUBURN	WA	98001	47.299135	-122.245604	303-555-1212
2574	Cinemark Orlando and XD	5150 INTERNATIONAL DR	ORLANDO	FL	32819	28.470003	-81.446383	303-555-1212
2575	Gateway 16 with IMAX	9700 STONELAKE BLVD	AUSTIN	TX	78759	30.387625	-97.739588	303-555-1212
2576	Long Beach 26 with IMAX	7501 CARSON BLVD	LONG BEACH	CA	90808	33.830672	-118.086913	303-555-1212
2577	Staten Island Stadium 16	2474 FOREST AVE	STATEN ISLAND	NY	10303	40.625923	-74.172833	303-555-1212
2580	Eden Prairie Mall 18	8251 FLYING CLOUD DR	EDEN PRAIRIE	MN	55344	44.854592	-93.426622	303-555-1212
2581	Santa Monica 7	1310 3RD STREET PROMENADE	SANTA MONICA	CA	90401	34.016590	-118.497726	303-555-1212
2582	Crossgates Stadium 18 with IMAX	120 WASHINGTON AVENUE EXT STE 1	ALBANY	NY	12203	42.654964	-73.759010	303-555-1212
2583	Cinemark West Plano with XD	3800 DALLAS PKWY	PLANO	TX	75093	33.049250	-96.827742	303-555-1212
2584	Countryside 20	45980 REGAL PLZ	STERLING	VA	20165	39.037780	-77.409020	303-555-1212
2585	Bay Street 16	5614 BAY ST STE 220	EMERYVILLE	CA	94608	37.833818	-122.292137	303-555-1212
2586	Galaxy 14	8105 E 96TH ST	INDIANAPOLIS	IN	46256	39.924980	-86.026020	303-555-1212
2587	Colonnade 14	8880 S EASTERN AVE	LAS VEGAS	NV	89123	36.028630	-115.115208	303-555-1212
2588	Fantasy 5	18 N PARK AVE	ROCKVILLE CENTRE	NY	11570	40.661466	-73.638010	303-555-1212
2589	Marina 6**	13455 MAXELLA AVE STE 270	MARINA DEL REY	CA	90292	33.987673	-118.441200	303-555-1212
2590	Willowbrook 24	17145 STATE HIGHWAY 249	HOUSTON	TX	77064	29.931257	-95.508859	303-555-1212
2591	King of Prussia 16 with IMAX	300 GODDARD BLVD	KING OF PRUSSIA	PA	19406	40.092815	-75.397662	303-555-1212
2592	Framingham 16**	22 FLUTIE PASS	FRAMINGHAM	MA	01701	42.303188	-71.390840	303-555-1212
2593	South Gate Stadium 20 with IMAX	8630 GARFIELD AVE	SOUTH GATE	CA	90280	33.952619	-118.164026	303-555-1212
2594	Brandywine Town Center 16	3300 BRANDYWINE PKWY	WILMINGTON	DE	19803	39.832151	-75.538314	303-555-1212
2595	Dole Cannery 18 with IMAX	753B IWILEI RD	HONOLULU	HI	96817	21.316096	-157.870806	303-555-1212
2596	Martin Village Stadium 16 with IMAX	5400 MARTIN WAY E	LACEY	WA	98516	47.050552	-122.813758	303-555-1212
